"insight:Observation_Information:2        insight:product_type:2                   Value:CLM","Value","CLM","","","Insight Camera data. Color-calibrated image, masked"
"insight:Observation_Information:2        insight:product_type:2                   Value:CLR","Value","CLR","","","Insight Camera data. Color-calibrated image"
"insight:Observation_Information:2        insight:product_type:2                   Value:DDD","Value","DDD","","","Insight Camera data. Stereo Delta Disparity (2-band, true disparity offset)"
"insight:Observation_Information:2        insight:product_type:2                   Value:DDL","Value","DDL","","","Insight Camera data. Stereo Delta Disparity Line (single-band)"
"insight:Observation_Information:2        insight:product_type:2                   Value:DDS","Value","DDS","","","Insight Camera data. Stereo Delta Disparity Sample (single-band)"
"insight:Observation_Information:2        insight:product_type:2                   Value:DEM","Value","DEM","","","Insight Camera data. Digital Elevation Model. Identical to ZZZ except positive is up."
"insight:Observation_Information:2        insight:product_type:2                   Value:DFF","Value","DFF","","","Insight Camera data. Stereo First-stage Disparity Final"
"insight:Observation_Information:2        insight:product_type:2                   Value:DFL","Value","DFL","","","Insight Camera data. Stereo First-stage Disparity Line"
"insight:Observation_Information:2        insight:product_type:2                   Value:DFS","Value","DFS","","","Insight Camera data. Stereo First-stage Disparity Sample"
"insight:Observation_Information:2        insight:product_type:2                   Value:DSE","Value","DSE","","","Insight Camera data. Stereo Disparity Error Metric"
"insight:Observation_Information:2        insight:product_type:2                   Value:DSG","Value","DSG","","","Insight Camera data. Stereo Disparity Grid"
"insight:Observation_Information:2        insight:product_type:2                   Value:DSL","Value","DSL","","","Insight Camera data. Stereo Disparity of Lines (single-band)"
"insight:Observation_Information:2        insight:product_type:2                   Value:DSP","Value","DSP","","","Insight Camera data. Stereo Disparity Final"
"insight:Observation_Information:2        insight:product_type:2                   Value:DSR","Value","DSR","","","Insight Camera data. Stereo Disparity Raw"
"insight:Observation_Information:2        insight:product_type:2                   Value:DSS","Value","DSS","","","Insight Camera data. Stereo Disparity of Samples (single-band)"
"insight:Observation_Information:2        insight:product_type:2                   Value:Dataless-SEED","Value","Dataless-SEED","","","Insight SEIS product containing seismic metadata in SEED format."
"insight:Observation_Information:2        insight:product_type:2                   Value:EDR","Value","EDR","","","Experiment Data Record. Lowest processing level"
"insight:Observation_Information:2        insight:product_type:2                   Value:EJP","Value","EJP","","","Insight Camera data. Original JPEG as received from the lander."
"insight:Observation_Information:2        insight:product_type:2                   Value:ERP","Value","ERP","","","Insight Camera data. Reference Pixel"
"insight:Observation_Information:2        insight:product_type:2                   Value:GUH","Value","GUH","","","Insight Camera data. Overall goodness map for HP3"
"insight:Observation_Information:2        insight:product_type:2                   Value:GUS","Value","GUS","","","Insight Camera data. Overall goodness map for SEIS/WTS"
"insight:Observation_Information:2        insight:product_type:2                   Value:GeoCSV","Value","GeoCSV","","","Insight SEIS product containing seismic data in an ASCII table in GeoCSV format."
"insight:Observation_Information:2        insight:product_type:2                   Value:IDA_History","Value","IDA_History","","","Insight Deployment Arm History Ancillary Data"
"insight:Observation_Information:2        insight:product_type:2                   Value:IDA_Parameters","Value","IDA_Parameters","","","Insight Deployment Arm Parameters Ancillary Data"
"insight:Observation_Information:2        insight:product_type:2                   Value:IDA_SciHi","Value","IDA_SciHi","","","Insight Deployment Arm High Priority Science/Engineering Data"
"insight:Observation_Information:2        insight:product_type:2                   Value:IDA_SciLo","Value","IDA_SciLo","","","Insight Deployment Arm Low Priority Science/Engineering Data"
"insight:Observation_Information:2        insight:product_type:2                   Value:IDA_Status","Value","IDA_Status","","","Insight Deployment Arm Status Ancillary Data"
"insight:Observation_Information:2        insight:product_type:2                   Value:IDA_Video","Value","IDA_Video","","","Insight Deployment Arm Status Ancillary Data"
"insight:Observation_Information:2        insight:product_type:2                   Value:IEF","Value","IEF","","","Insight Camera data. Incidence, Emission, Phase angles Filled"
"insight:Observation_Information:2        insight:product_type:2                   Value:IEP","Value","IEP","","","Insight Camera data. Incidence, Emission, Phase angles"
"insight:Observation_Information:2        insight:product_type:2                   Value:ILC","Value","ILC","","","Insight Camera data. Inverse lookup table (ILUT) with corrections such as de-spike"
"insight:Observation_Information:2        insight:product_type:2                   Value:ILM","Value","ILM","","","Insight Camera data. Inverse Lookup Tabel (ILT), masked"
"insight:Observation_Information:2        insight:product_type:2                   Value:ILP","Value","ILP","","","Insight Camera data. Inverse lookup table (ILUT) with pointing correction applied"
"insight:Observation_Information:2        insight:product_type:2                   Value:ILT","Value","ILT","","","Insight Camera data. Inverse lookup table (ILUT)"
"insight:Observation_Information:2        insight:product_type:2                   Value:IOF","Value","IOF","","","Insight Camera data. Rad-corrected IOF radiance factor, float"
"insight:Observation_Information:2        insight:product_type:2                   Value:IOI","Value","IOI","","","Insight Camera data. Rad-corrected IOF radiance factor, integer"
"insight:Observation_Information:2        insight:product_type:2                   Value:ION","Value","ION","","","DSN TRK 2-23 ionosphere calibration data"
"insight:Observation_Information:2        insight:product_type:2                   Value:LANDER_COORD","Value","LANDER_COORD","","","InSIGHT RISE derived data. Lander coordinates."
"insight:Observation_Information:2        insight:product_type:2                   Value:LIN","Value","LIN","","","Insight Camera data. CAHV-linearized (identical to EDR except for Geometry type)"
"insight:Observation_Information:2        insight:product_type:2                   Value:MAR","Value","MAR","","","Insight Camera data. Arm Reachability Mask File"
"insight:Observation_Information:2        insight:product_type:2                   Value:MDS","Value","MDS","","","Insight Camera data. Stereo Disparity Mask File"
"insight:Observation_Information:2        insight:product_type:2                   Value:MSK","Value","MSK","","","Insight Camera data. Image Mask File"
"insight:Observation_Information:2        insight:product_type:2                   Value:MXY","Value","MXY","","","Insight Camera data. XYZ Mask File"
"insight:Observation_Information:2        insight:product_type:2                   Value:Mini-SEED","Value","Mini-SEED","","","Insight SEIS product containing seismic data in mini-SEED format."
"insight:Observation_Information:2        insight:product_type:2                   Value:RAD","Value","RAD","","","Insight Camera data. Rad-corrected absolute radiance units, integer"
"insight:Observation_Information:2        insight:product_type:2                   Value:RAD-calibrated","Value","RAD-calibrated","","","HP3/RAD calibrated radiometer data"
"insight:Observation_Information:2        insight:product_type:2                   Value:RAD-derived","Value","RAD-derived","","","HP3/RAD derived radiometer data"
"insight:Observation_Information:2        insight:product_type:2                   Value:RAD-raw","Value","RAD-raw","","","HP3/RAD raw radiometer data"
"insight:Observation_Information:2        insight:product_type:2                   Value:RAF","Value","RAF","","","Insight Camera data. Rad-corrected absolute radiance units, float"
"insight:Observation_Information:2        insight:product_type:2                   Value:RAS","Value","RAS","","","Insight Camera data. Rad-corrected absolute radiance units, scaled to 12-bit"
"insight:Observation_Information:2        insight:product_type:2                   Value:RDM","Value","RDM","","","Insight Camera data. Rad-corrected radiance (RAD), masked"
"insight:Observation_Information:2        insight:product_type:2                   Value:RDR","Value","RDR","","","Reduced Data Record, a general term for any processing level above EDR."
"insight:Observation_Information:2        insight:product_type:2                   Value:RIE","Value","RIE","","","Insight Camera data. Rad-corrected for Instrument Effects only, integer DN"
"insight:Observation_Information:2        insight:product_type:2                   Value:RIF","Value","RIF","","","Insight Camera data. Rad-corrected for Instrument Effects only, float"
"insight:Observation_Information:2        insight:product_type:2                   Value:RNE","Value","RNE","","","Insight Camera data. Range Error Metric"
"insight:Observation_Information:2        insight:product_type:2                   Value:RNF","Value","RNF","","","Insight Camera data. Range Filled"
"insight:Observation_Information:2        insight:product_type:2                   Value:RNG","Value","RNG","","","Insight Camera data. Range from Camera"
"insight:Observation_Information:2        insight:product_type:2                   Value:RNM","Value","RNM","","","Insight Camera data. Range from Camera, Masked"
"insight:Observation_Information:2        insight:product_type:2                   Value:RNO","Value","RNO","","","Insight Camera data. Range with Overlay"
"insight:Observation_Information:2        insight:product_type:2                   Value:RNR","Value","RNR","","","Insight Camera data. Range from Rover Nav frame origin"
"insight:Observation_Information:2        insight:product_type:2                   Value:ROTATION_PARAMETERS","Value","ROTATION_PARAMETERS","","","Insight RISE derived data. Mars rotation parameters."
"insight:Observation_Information:2        insight:product_type:2                   Value:RSM","Value","RSM","","","Insight Camera data. Rad-corrected scaled radiance (RAS), masked"
"insight:Observation_Information:2        insight:product_type:2                   Value:RUH","Value","RUH","","","Insight Camera data. Surface Roughness map for HP3"
"insight:Observation_Information:2        insight:product_type:2                   Value:RUS","Value","RUS","","","Insight Camera data. Surface Roughness map for SEIS/WTS"
"insight:Observation_Information:2        insight:product_type:2                   Value:SHD","Value","SHD","","","Insight Camera data. Slope Heading Map"
"insight:Observation_Information:2        insight:product_type:2                   Value:SHO","Value","SHO","","","Insight Camera data. Slope Heading with Overlay"
"insight:Observation_Information:2        insight:product_type:2                   Value:SLO","Value","SLO","","","Insight Camera data. Slope with Overlay"
"insight:Observation_Information:2        insight:product_type:2                   Value:SLP","Value","SLP","","","Insight Camera data. Slope"
"insight:Observation_Information:2        insight:product_type:2                   Value:SMG","Value","SMG","","","Insight Camera data. Slope Magnitude"
"insight:Observation_Information:2        insight:product_type:2                   Value:SMO","Value","SMO","","","Insight Camera data. Slope Magnitude with Overlay"
"insight:Observation_Information:2        insight:product_type:2                   Value:SNO","Value","SNO","","","Insight Camera data. Slope Northerly Tilt with Overlay"
"insight:Observation_Information:2        insight:product_type:2                   Value:SNT","Value","SNT","","","Insight Camera data. Slope Northerly Tilt"
"insight:Observation_Information:2        insight:product_type:2                   Value:STATIL-calibrated","Value","STATIL-calibrated","","","HP3/RAD calibrated static tilt data"
"insight:Observation_Information:2        insight:product_type:2                   Value:STATIL-raw","Value","STATIL-raw","","","HP3/RAD raw static tilt data"
"insight:Observation_Information:2        insight:product_type:2                   Value:StationXML","Value","StationXML","","","Insight SEIS product containing seismic metadata in StationXML format."
"insight:Observation_Information:2        insight:product_type:2                   Value:TAU","Value","TAU","","","Insight Camera data. Tau report"
"insight:Observation_Information:2        insight:product_type:2                   Value:TDM","Value","TDM","","","DSN Tracking Data Message data"
"insight:Observation_Information:2        insight:product_type:2                   Value:TDS","Value","TDS","","","Insight Camera data. Delta Tilt map for SEIS/WTS"
"insight:Observation_Information:2        insight:product_type:2                   Value:TEM-A-calibrated","Value","TEM-A-calibrated","","","HP3/RAD calibrated active temperature data"
"insight:Observation_Information:2        insight:product_type:2                   Value:TEM-P-calibrated","Value","TEM-P-calibrated","","","HP3/RAD calibrated passive temperature data"
"insight:Observation_Information:2        insight:product_type:2                   Value:TEM-calibrated","Value","TEM-calibrated","","","HP3/RAD calibrated active and passive temperature data"
"insight:Observation_Information:2        insight:product_type:2                   Value:TEM-raw","Value","TEM-raw","","","HP3/RAD raw temperature data"
"insight:Observation_Information:2        insight:product_type:2                   Value:TFH","Value","TFH","","","Insight Camera data. Tilt map for HP3"
"insight:Observation_Information:2        insight:product_type:2                   Value:TFS","Value","TFS","","","Insight Camera data. Tilt map for SEIS"
"insight:Observation_Information:2        insight:product_type:2                   Value:TFW","Value","TFW","","","Insight Camera data. Tilt map for WTS"
"insight:Observation_Information:2        insight:product_type:2                   Value:TLM-raw","Value","TLM-raw","","","HP3/RAD raw tether length monitor data"
"insight:Observation_Information:2        insight:product_type:2                   Value:TNF","Value","TNF","","","DSN TRK 2-34 tracking and navigation data"
"insight:Observation_Information:2        insight:product_type:2                   Value:TRO","Value","TRO","","","DSN TRK 2-23 troposphere calibration data"
"insight:Observation_Information:2        insight:product_type:2                   Value:UIH","Value","UIH","","","Insight Camera data. Instrument Normal for HP3."
"insight:Observation_Information:2        insight:product_type:2                   Value:UIS","Value","UIS","","","Insight Camera data. Instrument Normal for SEIS."
"insight:Observation_Information:2        insight:product_type:2                   Value:UIW","Value","UIW","","","Insight Camera data. Instrument Normal for WTS."
"insight:Observation_Information:2        insight:product_type:2                   Value:UUF","Value","UUF","","","Insight Camera data. Surface Normal (UVW) U-band Filled"
"insight:Observation_Information:2        insight:product_type:2                   Value:UUU","Value","UUU","","","Insight Camera data. Surface Normal (UVW) U-band"
"insight:Observation_Information:2        insight:product_type:2                   Value:UVF","Value","UVF","","","Insight Camera data. Surface Normal (UVW) Filled"
"insight:Observation_Information:2        insight:product_type:2                   Value:UVO","Value","UVO","","","Insight Camera data. Surface Normal (UVW) with Overlay"
"insight:Observation_Information:2        insight:product_type:2                   Value:UVP","Value","UVP","","","Insight Camera data. Surface Normal (UVW) Projected onto Plane"
"insight:Observation_Information:2        insight:product_type:2                   Value:UVS","Value","UVS","","","Insight Camera data. Surface Normal (UVW) for Slope computations"
"insight:Observation_Information:2        insight:product_type:2                   Value:UVT","Value","UVT","","","Insight Camera data. Surface Normal (UVW) Angle ('T' for theta) between Normal and Plane"
"insight:Observation_Information:2        insight:product_type:2                   Value:UVW","Value","UVW","","","Insight Camera data. Surface Normal (UVW)"
"insight:Observation_Information:2        insight:product_type:2                   Value:VVF","Value","VVF","","","Insight Camera data. Surface Normal (UVW) V-band Filled"
"insight:Observation_Information:2        insight:product_type:2                   Value:VVV","Value","VVV","","","Insight Camera data. Surface Normal (UVW) V-band"
"insight:Observation_Information:2        insight:product_type:2                   Value:WEA","Value","WEA","","","DSN TRK 2-24 weather data"
"insight:Observation_Information:2        insight:product_type:2                   Value:WSH","Value","WSH","","","Insight Camera data. Workspace boundary for HP3"
"insight:Observation_Information:2        insight:product_type:2                   Value:WSS","Value","WSS","","","Insight Camera data. Workspace boundary for SEIS and WTS"
"insight:Observation_Information:2        insight:product_type:2                   Value:WWF","Value","WWF","","","Insight Camera data. Surface Normal (UVW) W-band Filled"
"insight:Observation_Information:2        insight:product_type:2                   Value:WWW","Value","WWW","","","Insight Camera data. Surface Normal (UVW) W-band"
"insight:Observation_Information:2        insight:product_type:2                   Value:XXF","Value","XXF","","","Insight Camera data. XYZ X-band Filled"
"insight:Observation_Information:2        insight:product_type:2                   Value:XXX","Value","XXX","","","Insight Camera data. XYZ X-band"
"insight:Observation_Information:2        insight:product_type:2                   Value:XYE","Value","XYE","","","Insight Camera data. XYZ Error Metric"
"insight:Observation_Information:2        insight:product_type:2                   Value:XYF","Value","XYF","","","Insight Camera data. XYZ Filled"
"insight:Observation_Information:2        insight:product_type:2                   Value:XYM","Value","XYM","","","Insight Camera data. XYZ Masked"
"insight:Observation_Information:2        insight:product_type:2                   Value:XYO","Value","XYO","","","Insight Camera data. XYZ with Overlay"
"insight:Observation_Information:2        insight:product_type:2                   Value:XYR","Value","XYR","","","Insight Camera data. XYZ expressed in Rover Nav frame"
"insight:Observation_Information:2        insight:product_type:2                   Value:XYZ","Value","XYZ","","","Insight Camera data. XYZ expressed in Site frame"
"insight:Observation_Information:2        insight:product_type:2                   Value:YYF","Value","YYF","","","Insight Camera data. XYZ Y-band Filled"
"insight:Observation_Information:2        insight:product_type:2                   Value:YYY","Value","YYY","","","Insight Camera data. XYZ Y-band"
"insight:Observation_Information:2        insight:product_type:2                   Value:ZIH","Value","ZIH","","","Insight Camera data. Instrument Z for HP3."
"insight:Observation_Information:2        insight:product_type:2                   Value:ZIS","Value","ZIS","","","Insight Camera data. Instrument Z for SEIS."
"insight:Observation_Information:2        insight:product_type:2                   Value:ZIW","Value","ZIW","","","Insight Camera data. Instrument Z for WTS."
"insight:Observation_Information:2        insight:product_type:2                   Value:ZZF","Value","ZZF","","","Insight Camera data. XYZ Z-band Filled"
"insight:Observation_Information:2        insight:product_type:2                   Value:ZZZ","Value","ZZZ","","","Insight Camera data. XYZ Z-band"
"insight:Observation_Information:2        insight:spacecraft_clock_start_count:1  ","Attribute","spacecraft_clock_start_count","n/a","insight","The spacecraft_clock_start_count is the value of the spacecraft clock at the beginning of an observation. It represents the number of ticks. If a fractional value is present, it represents the number of 1/65536 ticks.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","18","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"insight:Observation_Information:2        insight:spacecraft_clock_stop_count:1   ","Attribute","spacecraft_clock_stop_count","n/a","insight","The spacecraft_clock_stop_count is the value of the spacecraft clock at the end of an observation.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","18","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"insight:Observation_Information:2        insight:spacecraft_clock_count_partition:1","Attribute","spacecraft_clock_count_partition","n/a","insight","The spacecraft_clock_count_partition provides the clock partition active for the spacecraft_clock_start_count and spacecraft_clock_stop_count attributes. This attribute may be used when the spacecraft_clock values do not include a partition number.","geo","ASCII_Integer","0","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"insight:Observation_Information:2        insight:sol_number:1                    ","Attribute","sol_number","n/a","insight","Sol_number is the number of the Mars day on which an observation was acquired. Landing day is Sol 0.","geo","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"insight:Observation_Information:2        insight:start_sol_number:1              ","Attribute","start_sol_number","n/a","insight","Start_sol_number is the number of the Mars day on which a multiple-day observation was begun. Landing day is Sol 0.","geo","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"insight:Observation_Information:2        insight:stop_sol_number:1               ","Attribute","stop_sol_number","n/a","insight","Stop_sol_number is the number of the Mars day on which a multiple-day observation was ended. Landing day is Sol 0.","geo","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"insight:Observation_Information:2        insight:start_local_mean_solar_time:1   ","Attribute","start_local_mean_solar_time","n/a","insight","Start_local_mean_solar_time is the local mean solar time, as defined in the main PDS4 data dictionary, at the beginning of an observation.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","10","24","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"insight:Observation_Information:2        insight:stop_local_mean_solar_time:1    ","Attribute","stop_local_mean_solar_time","n/a","insight","Stop_local_mean_solar_time is the local mean solar time, as defined in the main PDS4 data dictionary, at the end of an observation.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","10","24","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"insight:Observation_Information:2        insight:start_local_true_solar_time:1   ","Attribute","start_local_true_solar_time","n/a","insight","Start_local_true_solar_time is the local true solar time, as defined in the main PDS4 data dictionary, at the beginning of an observation.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","8","24","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"insight:Observation_Information:2        insight:stop_local_true_solar_time:1    ","Attribute","stop_local_true_solar_time","n/a","insight","Stop_local_true_solar_time is the local true solar time, as defined in the main PDS4 data dictionary, at the end of an observation.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","8","24","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"insight:Observation_Information:2        insight:local_true_solar_time_sol:1     ","Attribute","local_true_solar_time_sol","n/a","insight","The local_true_solar_time_sol element specifies the number of solar days elapsed since a reference day (e.g. the day on which a landing vehicle set down) for local true solar time (LTST). Days are measured in rotations of the planet in question from midnight to midnight. The reference day is '0', as Landing day is Sol 0. If before Landing day, then value will be less than or equal to '0' and can be negative.","geo","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"insight:Observation_Information:2        insight:aobt_clock_start_count:1        ","Attribute","aobt_clock_start_count","n/a","insight","The aobt_clock_start_count specifies the number of 1/1024 seconds recorded on the APSS On Board Time clock at the beginning of an observation.","geo","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"insight:Observation_Information:2        insight:aobt_clock_stop_count:1         ","Attribute","aobt_clock_stop_count","n/a","insight","The aobt_clock_stop_count specifies the number of 1/1024 seconds recorded on the APSS On Board Time clock at the end of an observation.","geo","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"insight:Observation_Information:2        insight:lobt_clock_start_count:1        ","Attribute","lobt_clock_start_count","n/a","insight","The lobt_clock_start_count specifies the number of 1/1024 seconds recorded on the Lander On Board Time clock at the beginning of an observation.","geo","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"insight:Observation_Information:2        insight:lobt_clock_stop_count:1         ","Attribute","lobt_clock_stop_count","n/a","insight","The lobt_clock_stop_count specifies the number of 1/1024 seconds recorded on the Lander On Board Time clock at the end of an observation.","geo","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"insight:Observation_Information:2        insight:start_solar_longitude:1         ","Attribute","start_solar_longitude","n/a","insight","Start_solar_longitude is the solar longitude, as defined in the main PDS4 data dictionary, at the beginning of an observation.","geo","ASCII_Real","0","1","0","360","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"insight:Observation_Information:2        insight:stop_solar_longitude:1          ","Attribute","stop_solar_longitude","n/a","insight","Stop_solar_longitude is the solar longitude, as defined in the main PDS4 data dictionary, at the end of an observation.","geo","ASCII_Real","0","1","0","360","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"insight:Observation_Information:2        insight:mars_year:1                     ","Attribute","mars_year","n/a","insight","The mars_year element specifies the number of the Mars year relative to the reference date of April 11, 1955 (Mars solar longitude 0), which is defined as the start of Mars year 1.","geo","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"insight:Observation_Information:2        insight:software_name:1                 ","Attribute","software_name","n/a","insight","Software_name identifies the processing software used to generate a data product.","geo","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"insight:Observation_Information:2        insight:software_version_id:1           ","Attribute","software_version_id","n/a","insight","Software_version_id identifies the version of the processing software used to generate a data product.","geo","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"insight:Metadata_Location:1             ","Class","Metadata_Location","1.0.0.0","insight"," The Metadata_Location class contains attributes that identify and locate the metadata associated with a given SEIS data product. ","geo","","","","","","","","","","",""
"insight:Metadata_Location:2              insight:metadata_file_name:1            ","Attribute","metadata_file_name","n/a","insight"," SEIS observations are stored with the seismic data from the instrument in one file (mini-SEED or GeoCSV format) and the metadata for the measurements in another file (dataless SEED or StationXML format). The metadata_file_name attribute gives the name of the file containing the metadata associated with a given data file. ","geo","ASCII_File_Name","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"insight:Metadata_Location_Internal_Reference:1","Class","Metadata_Location_Internal_Reference","1.0.0.0","insight","The Internal_Reference class is used to cross-reference other products in PDS4-compliant registries of PDS and its recognized international partners.","geo","","","","","","","","","","",""
"insight:Metadata_Location_Internal_Reference:2 insight:Metadata_Location_reference_type:1","Attribute","Metadata_Location_reference_type","n/a","TBD_namespaceidNC","The reference_type attribute provides the name of the association.","geo","TBD_value_type","1","1","TBD_minimum_value","TBD_maximum_value","TBD_minimum_characters","TBD_maximum_characters","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"insight:Metadata_Location_Internal_Reference:2 insight:Metadata_Location_reference_type:2 Value:data_to_metadata","Value","data_to_metadata","","","
            The given LID or LIDVID identifies the metadata product
            associated with this data product.
          "
"insight:ASCII_Equivalent:1              ","Class","ASCII_Equivalent","1.0.0.0","insight"," The ASCII_Equivalent class contains attributes that identify and locate the ASCII data product equivalent to a given SEIS SEED data product. ","geo","","","","","","","","","","",""
"insight:ASCII_Equivalent:2               insight:ascii_equivalent_file_name:1    ","Attribute","ascii_equivalent_file_name","n/a","insight"," SEIS data products are archived in their native SEED format and in a PDS-compatible ASCII format. The ascii_equivalent_file_name attribute gives the name of the file that is the ASCII equivalent of a SEED format file. ","geo","ASCII_File_Name","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"insight:ASCII_Equivalent_Internal_Reference:1","Class","ASCII_Equivalent_Internal_Reference","1.0.0.0","insight","The Internal_Reference class is used to cross-reference other products in PDS4-compliant registries of PDS and its recognized international partners.","geo","","","","","","","","","","",""
"insight:ASCII_Equivalent_Internal_Reference:2 insight:ASCII_Equivalent_reference_type:1","Attribute","ASCII_Equivalent_reference_type","n/a","TBD_namespaceidNC","The reference_type attribute provides the name of the association.","geo","TBD_value_type","1","1","TBD_minimum_value","TBD_maximum_value","TBD_minimum_characters","TBD_maximum_characters","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"insight:ASCII_Equivalent_Internal_Reference:2 insight:ASCII_Equivalent_reference_type:2 Value:seed_to_ascii","Value","seed_to_ascii","","","
            The given LID or LIDVID identifies the SEIS data product in ASCII format
            that is the equivalent of this SEIS data product in SEED format.
          "
